Website,Avg_Daily_Visitors,Avg_Daily_Pageviews,Facebook_likes,Twitter_mentions,Google_pluses,LinkedIn_mentions,Pinterest_pins,StumbleUpon_views,Reach_Day,Month_Average_Daily_Reach,Daily_Pageviews,Month_Average_Daily_Pageviews,Daily_Pageviews_per_user,Traffic_Rank
www.dahaboo.com,2088,12114,0,0,0,0,0,0,0.000293,0.000142,0.000047,0.000021,6.7095,287002
www.placen.ddns.net,N/A,N/A,0,0,0,0,0,0,NA,NA,NA,NA,NA,943671
www.laacibnet.net,23910,76516,32,0,13,0,0,0,0.002865,0.001624,0.00022,0.00012,2.865,54006
www.voodaith7e.com,438101,902487,0,0,0,0,0,0,0.024,0.046272,0.001056,0.002352,1.92,1765
www.dl-protecte.com,613779,2025470,0,0,0,0,0,0,0.05472,0.049536,0.004685,0.003869,3.168,1672
www.pokerstars.com,653908,712760,0,130,1050,120,1,14700,0.05376,0.059904,0.00144,0.001517,1.056,3341
www.intnet.dj,918,2019,0,0,0,0,0,0,0.000076,0.000063,0.000004,0.000004,1.89,693578
www.awesomeforyou.club,693938,1158876,0,0,0,0,0,0,0.1056,0.093216,0.004579,0.004138,1.632,2952
www.google.dm,5468,32809,5,0,8,2,0,10,0.000425,0.000426,0.000049,0.000056,4.914,125455
www.dominicanewsonline.com,3432,8581,0,2,81,5,0,68,0.000369,0.000255,0.000021,0.000016,2.3625,213204
www.rossuniversity.net,1062,8076,0,1,0,0,0,0,0.000095,0.000095,0.00001,0.00002,4.725,342910
www.rossu.edu,5287,22209,0,0,21,9,0,7,0.000605,0.000463,0.00006,0.000043,4.2525,129990
www.ecollege.com,989127,3620207,0,28,4,4,0,134,0.03648,0.060768,0.003466,0.005385,3.648,882
www.dominicavibes.dm,1009,1009,0,8,1,1,0,1,0.000076,0.000062,0.000004,0.000002,1.89,728375
www.e-value.net,40271,76516,0,0,7,1,0,0,0.004489,0.002903,0.00022,0.000135,2.0055,41089
www.nba.com,2248505,5081623,2330,357,4270000,2050,193,330000,0.20448,0.19008,0.012576,0.010224,2.3136,474
